"道具ID："	"物品名称20ABCD0E装备A=第几套B=职业（0通用1丐帮2少林3全真）C=套装（0无属性1阴2阳3内4外）D=品质E=装备subType700101开始是宝石"	"图标ID。填入icon的资源的名称"	"掉落模型ID"	"分类。1=货币，2=装备,3=消耗品，4=宝物，5=礼包，6=宝石，7=任务,8=英雄,9=材料"	"子类型，标识道具子类对于装备，1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品对于消耗品1=一般玩法消耗（用于跟道具类型无关的消耗），2=强化药剂，3=鉴定符,4=龙经验丹，5=自动使用血瓶，6=经验丹，7=喇叭8升级丹9=迷城重置符10=大血包11=大魔包12大魔瓶13尊爵体验卡，14=合成材料，15=合成符石，16=时装碎片，17=坐骑碎片19=宠物碎片20=秘籍升阶道具21=秘籍技能格开启道具,22=华山论剑卷轴,23单人首领卷轴=,24=叱咤王府卷轴,25=海上洪涛卷轴,26=千刃绝顶卷轴,27=大军西征卷轴,28=柔然入寇卷轴,29=未鉴定宝图,29=已鉴定宝图，31=再入琅琊卷轴32=280组队本33=300组队本对于宝物，1=坐骑10=宠物11=背旗12=法阵对于宝石，数字表示宝石种类，共9种对于礼包：1=普通礼包，2=时装包对于英雄：1.英雄碎片2.根骨丹3.助战相关道具4.武魂相关道具5.秘籍相关道具."	"使用等级"	"品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色"	"职业限制。1=丐帮可用，2=少林可用，4=全真可用。填入和值"	"物品规则读ItemRuleConfig里的定义必填项"	"出售价格"	"叠加数量叠加多个与可计时冲突，警告！"	"拾取方式。0=手动拾取，1=自动拾取，2=自动拾取即使用，3=拾取进公会仓库，4=购买并自动使用（时装礼包）"	"物品描述"	"物品使用脚本"	"物品使用条件，[type,param0,param1]，type=1物品ID，物品数量type=2金币，所有金币，充值金币"	"特定场景中使用。0=副本，1=野外地图，2=主城"	"物品寿命（分）与ItemRuleConfig表中的计时规则配合生效"	"掉落拾取时是否有成就提示"	"是否记录log"	"是否批量使用"	"是否连续使用"	"是否快捷使用"	"装备显示"	"装备显示"	"装备显示"	"特殊显示"	"使用时打开功能界面"	"使用性别0=通用1=男2=女"	"获得途径"	""	""	""	""	
"21041008"	"项链"	"item_equip,equip_20801008"	"270801"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的项链"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041009"	"护腕"	"item_equip,equip_20801009"	"270901"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的护腕"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041010"	"左戒"	"item_equip,equip_20801010"	"271001"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的左戒"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041011"	"右戒"	"item_equip,equip_20801011"	"271101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的右戒"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041012"	"饰品"	"item_equip,equip_20801312"	"211201"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21051000"	"橙色装备"	"item_equip,equip_20801301"	"210101"	"3"	"1"	"1"	"5"	"7"	"1"	"100"	"1"	"1"	"[white]可能获得[orange]橙色品质[white]的[orange]武器、头盔、衣服、肩甲、腰带、裤子、战靴、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141101"	"寒霜剑"	"icon_new_equip,item_zj_wuqi7"	"210101"	"2"	"1"	"1"	"4"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141102"	"麒麟玉冠"	"icon_new_equip,item_zj_tou7"	"210201"	"2"	"2"	"1"	"4"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141103"	"战龙铠甲"	"icon_new_equip,item_zj_yifu7"	"210301"	"2"	"3"	"1"	"4"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141112"	"冷月寒星"	"item_equip,equip_20701312"	"211201"	"2"	"12"	"1"	"4"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141201"	"奔雷枪"	"icon_new_equip,item_tw_wuqi7"	"220101"	"2"	"1"	"1"	"4"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141202"	"武神盔"	"icon_new_equip,item_tw_tou7"	"220201"	"2"	"2"	"1"	"4"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141203"	"战龙铠甲"	"icon_new_equip,item_tw_yifu7"	"220301"	"2"	"3"	"1"	"4"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141212"	"冷月寒星"	"item_equip,equip_20701312"	"221201"	"2"	"12"	"1"	"4"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141301"	"揽风琴"	"icon_new_equip,item_yj_wuqi7"	"240101"	"2"	"1"	"1"	"4"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141302"	"徊歌梦带"	"icon_new_equip,item_yj_tou7"	"240201"	"2"	"2"	"1"	"4"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141303"	"战龙铠甲"	"icon_new_equip,item_yj_yifu7"	"240301"	"2"	"3"	"1"	"4"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21141312"	"冷月寒星"	"item_equip,equip_20701312"	"241201"	"2"	"12"	"1"	"4"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21241004"	"战龙肩甲"	"item_equip,g_jianbang"	"100005"	"2"	"4"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21241005"	"玄天扣带"	"item_equip,g_yaodai"	"100005"	"2"	"5"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21241101"	"秋水寒霜剑"	"icon_new_equip,item_zj_wuqi7"	"210101"	"2"	"1"	"1"	"4"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21241102"	"麒麟玉冠"	"icon_new_equip,item_zj_tou7"	"210201"	"2"	"2"	"1"	"4"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21241201"	"踏月奔雷枪"	"icon_new_equip,item_tw_wuqi7"	"220101"	"2"	"1"	"1"	"4"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21241202"	"武神盔"	"icon_new_equip,item_tw_tou7"	"220201"	"2"	"2"	"1"	"4"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21241301"	"邀云揽风琴"	"icon_new_equip,item_yj_wuqi7"	"240101"	"2"	"1"	"1"	"4"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21241302"	"徊歌梦带"	"icon_new_equip,item_yj_tou7"	"240201"	"2"	"2"	"1"	"4"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551101"	"西风啸·泛海惊鲵剑"	"icon_new_equip,item_zj_wuqi8"	"210101"	"2"	"1"	"1"	"5"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551102"	"西风啸·胡笳头巾"	"icon_new_equip,item_zj_tou8"	"210201"	"2"	"2"	"1"	"5"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551103"	"西风啸·暮环青天衫"	"icon_new_equip,item_zj_yifu8"	"210301"	"2"	"3"	"1"	"5"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551112"	"西风啸·辞兮坠"	"item_equip,equip_20801312"	"211201"	"2"	"12"	"1"	"5"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551201"	"烽火狼烟·五虎断魂枪"	"icon_new_equip,item_tw_wuqi8"	"220101"	"2"	"1"	"1"	"5"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551202"	"烽火狼烟·仇山盔"	"icon_new_equip,item_tw_tou8"	"220201"	"2"	"2"	"1"	"5"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551203"	"烽火狼烟·锋燃战甲"	"icon_new_equip,item_tw_yifu8"	"220301"	"2"	"3"	"1"	"5"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551212"	"烽火狼烟·铁止坠"	"item_equip,equip_20801312"	"221201"	"2"	"12"	"1"	"5"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551301"	"卧龙吟·枯木龙吟琴"	"icon_new_equip,item_yj_wuqi8"	"240101"	"2"	"1"	"1"	"5"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551302"	"卧龙吟·朽然冠"	"icon_new_equip,item_yj_tou8"	"240201"	"2"	"2"	"1"	"5"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551303"	"卧龙吟·惑荧归一袍"	"icon_new_equip,item_yj_yifu8"	"240301"	"2"	"3"	"1"	"5"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21551312"	"卧龙吟·震隐坠"	"item_equip,equip_20801312"	"241201"	"2"	"12"	"1"	"5"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22221000"	"40级蓝色装备"	"item_equip,equip_20201301"	"210101"	"3"	"1"	"1"	"2"	"7"	"1"	"100"	"1"	"1"	"[white]40级[blue]蓝色品质[white]的装备，包括[blue]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22231000"	"40级紫色装备"	"item_equip,equip_20201301"	"210101"	"3"	"1"	"1"	"3"	"7"	"1"	"100"	"1"	"1"	"[white]40级[purple]紫色品质[white]的装备，包括[purple]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22241000"	"40级金色装备"	"item_equip,equip_20201301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]40级[gold]金色品质[white]的装备，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22321000"	"80级蓝色装备"	"item_equip,equip_20301301"	"210101"	"3"	"1"	"1"	"2"	"7"	"1"	"100"	"1"	"1"	"[white]80级[blue]蓝色品质[white]的装备，包括[blue]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22331000"	"80级紫色装备"	"item_equip,equip_20301301"	"210101"	"3"	"1"	"1"	"3"	"7"	"1"	"100"	"1"	"1"	"[white]80级[purple]紫色品质[white]的装备，包括[purple]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22341000"	"80级金色装备"	"item_equip,equip_20301301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]80级[gold]金色品质[white]的装备，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22342000"	"80级金色套装"	"item_equip,equip_20301301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]80级[gold]金色品质[white]的套装，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22421000"	"120级蓝色装备"	"item_equip,equip_20401301"	"210101"	"3"	"1"	"1"	"2"	"7"	"1"	"100"	"1"	"1"	"[white]120级[blue]蓝色品质[white]的装备，包括[blue]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22431000"	"120级紫色装备"	"item_equip,equip_20401301"	"210101"	"3"	"1"	"1"	"3"	"7"	"1"	"100"	"1"	"1"	"[white]120级[purple]紫色品质[white]的装备，包括[purple]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22441000"	"120级金色装备"	"item_equip,equip_20401301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]120级[gold]金色品质[white]的装备，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22442000"	"120级金色套装"	"item_equip,equip_20401301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]120级[gold]金色品质[white]的套装，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22521000"	"160级蓝色装备"	"item_equip,equip_20501301"	"210101"	"3"	"1"	"1"	"2"	"7"	"1"	"100"	"1"	"1"	"[white]160级[blue]蓝色品质[white]的装备，包括[blue]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22531000"	"160级紫色装备"	"item_equip,equip_20501301"	"210101"	"3"	"1"	"1"	"3"	"7"	"1"	"100"	"1"	"1"	"[white]160级[purple]紫色品质[white]的装备，包括[purple]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22541000"	"160级金色装备"	"item_equip,equip_20501301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]160级[gold]金色品质[white]的装备，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22542000"	"160级金色套装"	"item_equip,equip_20501301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]160级[gold]金色品质[white]的套装，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22621000"	"200级蓝色装备"	"item_equip,equip_20601301"	"210101"	"3"	"1"	"1"	"2"	"7"	"1"	"100"	"1"	"1"	"[white]200级[blue]蓝色品质[white]的装备，包括[blue]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22631000"	"200级紫色装备"	"item_equip,equip_20601301"	"210101"	"3"	"1"	"1"	"3"	"7"	"1"	"100"	"1"	"1"	"[white]200级[purple]紫色品质[white]的装备，包括[purple]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22641000"	"200级金色装备"	"item_equip,equip_20601301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]200级[gold]金色品质[white]的装备，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22651000"	"200级橙色装备"	"item_equip,equip_20601301"	"210101"	"3"	"1"	"1"	"5"	"7"	"1"	"100"	"1"	"1"	"[white]200级[orange]橙色品质[white]的装备，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22652000"	"200级橙色套装"	"item_equip,equip_20601301"	"210101"	"3"	"1"	"1"	"5"	"7"	"1"	"100"	"1"	"1"	"[white]200级[orange]橙色品质[white]的套装，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22721000"	"240级蓝色装备"	"item_equip,equip_20701301"	"210101"	"3"	"1"	"1"	"2"	"7"	"1"	"100"	"1"	"1"	"[white]240级[blue]蓝色品质[white]的装备，包括[blue]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22731000"	"240级紫色装备"	"item_equip,equip_20701301"	"210101"	"3"	"1"	"1"	"3"	"7"	"1"	"100"	"1"	"1"	"[white]240级[purple]紫色品质[white]的装备，包括[purple]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22741000"	"240级金色装备"	"item_equip,equip_20701301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]240级[gold]金色品质[white]的装备，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22751000"	"240级橙色装备"	"item_equip,equip_20701301"	"210101"	"3"	"1"	"1"	"5"	"7"	"1"	"100"	"1"	"1"	"[white]240级[orange]橙色品质[white]的装备，包括[orange]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22752000"	"240级橙色套装"	"item_equip,equip_20701301"	"210101"	"3"	"1"	"1"	"5"	"7"	"1"	"100"	"1"	"1"	"[white]240级[orange]橙色品质[white]的套装，包括[orange]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22821000"	"280级蓝色装备"	"item_equip,equip_20801301"	"210101"	"3"	"1"	"1"	"2"	"7"	"1"	"100"	"1"	"1"	"[white]280级[blue]蓝色品质[white]的装备，包括[blue]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22831000"	"280级紫色装备"	"item_equip,equip_20801301"	"210101"	"3"	"1"	"1"	"3"	"7"	"1"	"100"	"1"	"1"	"[white]280级[purple]紫色品质[white]的装备，包括[purple]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22841000"	"280级金色装备"	"item_equip,equip_20801301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]280级[gold]金色品质[white]的装备，包括[gold]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22851000"	"280级橙色装备"	"item_equip,equip_20801301"	"210101"	"3"	"1"	"1"	"5"	"7"	"1"	"100"	"1"	"1"	"[white]280级[orange]橙色品质[white]的装备，包括[orange]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"22852000"	"280级橙色套装"	"item_equip,equip_20801301"	"210101"	"3"	"1"	"1"	"5"	"7"	"1"	"100"	"1"	"1"	"[white]280级[orange]橙色品质[white]的套装，包括[orange]衣服、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111004"	"赤铜护甲"	"item_equip,equip_20101004"	"270401"	"2"	"4"	"1"	"1"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111005"	"葛布腰带"	"item_equip,equip_20101005"	"270501"	"2"	"5"	"1"	"1"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111006"	"粗布护腿"	"item_equip,equip_20101006"	"270601"	"2"	"6"	"1"	"1"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111007"	"平底布靴"	"item_equip,equip_20101007"	"270701"	"2"	"7"	"1"	"1"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111008"	"缠藤项链"	"item_equip,equip_20101008"	"270801"	"2"	"8"	"1"	"1"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111009"	"赤铁绑手"	"item_equip,equip_20101009"	"270901"	"2"	"9"	"1"	"1"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111010"	"素银指环"	"item_equip,equip_20101010"	"271001"	"2"	"10"	"1"	"1"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111011"	"素银戒指"	"item_equip,equip_20101011"	"271101"	"2"	"11"	"1"	"1"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111101"	"青铜尺剑"	"icon_new_equip,item_zj_wuqi5"	"210101"	"2"	"1"	"1"	"1"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111102"	"行者头带"	"icon_new_equip,item_zj_tou5"	"210201"	"2"	"2"	"1"	"1"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111103"	"游者布衣"	"icon_new_equip,item_zj_yifu5"	"210301"	"2"	"3"	"1"	"1"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111112"	"征夺剑坠"	"item_equip,equip_20101312"	"211201"	"2"	"12"	"1"	"1"	"1"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111201"	"紫铜枪"	"icon_new_equip,item_tw_wuqi5"	"220101"	"2"	"1"	"1"	"1"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111202"	"青铜盔"	"icon_new_equip,item_tw_tou5"	"220201"	"2"	"2"	"1"	"1"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111203"	"青铜护甲"	"icon_new_equip,item_tw_yifu5"	"220301"	"2"	"3"	"1"	"1"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111212"	"行旅坠"	"item_equip,equip_20101312"	"221201"	"2"	"12"	"1"	"1"	"2"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111301"	"朽木琴"	"icon_new_equip,item_yj_wuqi5"	"240101"	"2"	"1"	"1"	"1"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111302"	"青冠"	"icon_new_equip,item_yj_tou5"	"240201"	"2"	"2"	"1"	"1"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111303"	"粗布袍"	"icon_new_equip,item_yj_yifu5"	"240301"	"2"	"3"	"1"	"1"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20111312"	"流苏坠"	"item_equip,equip_20101312"	"241201"	"2"	"12"	"1"	"1"	"4"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20112004"	"1级护肩-品质1-套装2"	"item_equip,equip_20102004"	"270401"	"2"	"4"	"1"	"1"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"20112005"	"1级腰带-品质1-套装2"	"item_equip,equip_20102005"	"270501"	"2"	"5"	"1"	"1"	"7"	"1"	"100"	"1"	"1"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
