"索引数字ID"	"名称（策划内部使用）"	"显示名称"	"类型0:怪1:npc2:可破坏物件3:静物4:采集物5.护送目标6.多人坐骑7.侍从"	"显示等级"	"初始化数值"	"显示头像"	"怪类型(0=普通怪,1=精英怪,2=稀有怪,3=首领怪,4=超级首领怪)"	"boss血条数"	"称谓"	"是否显示名称"	"是否显示npc/怪物血条该字段优先级大于游戏设置面板中的【显示怪物生命条】"	"是否可见"	"刚体特性.位移"	"选取特性.鼠标"	"选取特性.技能(是否可以被选中攻击目标，即是否无敌）"	"角色模型"	"缩放"	"模型放大的比率"	"移动速度"	"空闲速度"	"尺寸对位"	"技能判断点围绕着怪物进行分布。填100开头的代表两层，1000开头代表有3层"	"普通掉落"	"boss掉落(索引到BossDropConfig表)"	"掉落半径"	"屏蔽世界掉落"	"是否主动攻击"	"初始化阵营"	"ADD距离/静物触发距离"	"ADD数量/静物点击触发技能/采集物采集技能(采集距离和读条时间都由技能控制)"	"ADD延迟/采集物获得物品掉落ID"	"ADD开关（是否需要ADD别人）"	"被ADD开关（可否被ADD）"	"出生时检测是否需被ADD(用于控制怪物出生时是否寻找周围的盟友并触发进入战斗)"	"闲聊"	"交互类型（影响鼠标样式）0，无交互；1，传送门（金色）；2，传送门（蓝色）"	"传送门名称特效"	"角色功能"	"出生动画（对应ActionGroup）"	"死亡表现（对应ActionGroup）"	"死亡方式0=act1=重力"	"死后消失判断（跟刷新挂钩)"	"寿命"	"ai脚本"	"性格（索引到性格表）尽量不要乱填，去性格表里找对应模板"	"能力（索引到能力表）"	"进战斗说话"	"静物默认触发脚本"	"角色功能头顶图标无功能=0有功能=特效图标名称"	"是否被裁剪//当从屏幕外到屏幕内出现问题时多半是这个需要填成false"	"是否在交互中转向"	"场景层"	"DmaDialogShiftX,Y"	"DmaDialogEulerAngleX,Y"	"剧情中特殊的选中"	"是否修正坐标到地面"	"显示受击伤害的偏移"	"自动战斗ai攻击优先级"	"耐久值"	"破甲buff"	"破甲硬直时间"	"破甲普通掉落"	"点击语音"	"拒绝他人光环"	"脚步act"	"选中脚下光圈大小1-5共5档玩家等大=3boss=4超级大=5小动物=1or2"	"模型变色1=蓝色2=紫色3=金色4-橙色其他数字/留空=不变色"	""	""	""	""	""	""	""	""	
"1000226"	"华山论剑机器人226"	"张毅宏"	"0"	"79"	"306"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000227"	"华山论剑机器人227"	"孙发静"	"0"	"79"	"307"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000228"	"华山论剑机器人228"	"任大石"	"0"	"79"	"308"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000229"	"华山论剑机器人229"	"韩靖玲"	"0"	"79"	"309"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000230"	"华山论剑机器人230"	"王奎坚"	"0"	"79"	"310"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000231"	"华山论剑机器人231"	"韩怡振"	"0"	"79"	"311"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000232"	"华山论剑机器人232"	"杨春宇"	"0"	"79"	"312"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000233"	"华山论剑机器人233"	"元燕"	"0"	"79"	"313"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000234"	"华山论剑机器人234"	"吕超鑫"	"0"	"79"	"314"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000235"	"华山论剑机器人235"	"冯芬友"	"0"	"79"	"315"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000236"	"华山论剑机器人236"	"云燕春"	"0"	"79"	"316"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000237"	"华山论剑机器人237"	"任朋"	"0"	"79"	"317"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000238"	"华山论剑机器人238"	"王丽茹"	"0"	"79"	"318"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000239"	"华山论剑机器人239"	"严锦国"	"0"	"79"	"319"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000240"	"华山论剑机器人240"	"褚祖松"	"0"	"79"	"320"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000241"	"华山论剑机器人241"	"余莘"	"0"	"78"	"301"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000242"	"华山论剑机器人242"	"王东友"	"0"	"78"	"302"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000243"	"华山论剑机器人243"	"柳燕斌"	"0"	"78"	"303"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000244"	"华山论剑机器人244"	"郑菁振"	"0"	"78"	"304"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000245"	"华山论剑机器人245"	"雷坚晓"	"0"	"78"	"305"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000246"	"华山论剑机器人246"	"王丽宇"	"0"	"78"	"306"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000247"	"华山论剑机器人247"	"贺芬晓"	"0"	"78"	"307"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000248"	"华山论剑机器人248"	"顾大东"	"0"	"78"	"308"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000249"	"华山论剑机器人249"	"王苹"	"0"	"78"	"309"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000250"	"华山论剑机器人250"	"钱国春"	"0"	"78"	"310"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000251"	"华山论剑机器人251"	"李伦健"	"0"	"78"	"311"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000252"	"华山论剑机器人252"	"俞香汉"	"0"	"78"	"312"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000253"	"华山论剑机器人253"	"潘武文"	"0"	"78"	"313"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000254"	"华山论剑机器人254"	"谢宏"	"0"	"78"	"314"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000255"	"华山论剑机器人255"	"余坚紫"	"0"	"78"	"315"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000256"	"华山论剑机器人256"	"华柏华"	"0"	"78"	"316"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000257"	"华山论剑机器人257"	"沈博"	"0"	"78"	"317"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000258"	"华山论剑机器人258"	"殷虹忠"	"0"	"78"	"318"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000259"	"华山论剑机器人259"	"谢武利"	"0"	"78"	"319"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000260"	"华山论剑机器人260"	"王超智"	"0"	"78"	"320"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000261"	"华山论剑机器人261"	"潘泽凯"	"0"	"77"	"301"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000262"	"华山论剑机器人262"	"朱丹"	"0"	"77"	"302"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000263"	"华山论剑机器人263"	"黄文茹"	"0"	"77"	"303"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000264"	"华山论剑机器人264"	"李磊远"	"0"	"77"	"304"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000265"	"华山论剑机器人265"	"唐坚宇"	"0"	"77"	"305"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000266"	"华山论剑机器人266"	"张华仁"	"0"	"77"	"306"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000267"	"华山论剑机器人267"	"韩大"	"0"	"77"	"307"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
